Name,Desc_,Date,Cases,Tested,Deaths,DthCOVID19,Population,Rate,Hosp,Counties,Outbreaks,ObjectId
Colorado,State Data,3/18/2020,216,2328,2,,5694287,3.79,26,20,,58
Colorado,State Data,3/19/2020,277,2952,2,,5694287,4.86,42,22,,59
Colorado,State Data,3/20/2020,363,3680,4,,5694287,6.37,44,24,,60
Colorado,State Data,3/21/2020,475,4550,5,,5694287,8.34,49,29,,61
Colorado,State Data,3/22/2020,591,5436,6,,5694287,10.38,58,29,5,62
Colorado,State Data,3/23/2020,720,6224,7,,5694287,12.64,72,31,5,63
Colorado,State Data,3/24/2020,912,7701,11,,5694287,16.02,84,35,7,64
Colorado,State Data,3/25/2020,1086,8064,19,,5694287,19.07,148,36,9,65
Colorado,State Data,3/26/2020,1430,10122,24,,5694287,25.11,184,39,9,66
Colorado,State Data,3/27/2020,1734,11676,31,,5694287,30.45,239,42,9,67
Colorado,State Data,3/28/2020,2061,13276,44,,5694287,36.19,274,44,10,68
Colorado,State Data,3/29/2020,2307,14470,47,,5694287,40.51,326,46,10,69
Colorado,State Data,3/30/2020,2627,15364,51,,5694287,46.13,414,47,14,70
Colorado,State Data,3/31/2020,2966,16849,69,,5694287,52.09,509,50,16,71
Colorado,State Data,4/1/2020,3342,18645,80,,5694287,58.69,620,50,17,72
Colorado,State Data,4/2/2020,3728,20411,97,,5694287,65.47,710,51,21,73
Colorado,State Data,4/3/2020,4173,22071,111,,5694287,73.28,823,53,27,74
Colorado,State Data,4/4/2020,4565,23900,126,,5694287,80.17,875,54,30,75
Colorado,State Data,4/5/2020,4950,25773,140,,5694287,86.93,924,54,37,76
Colorado,State Data,4/6/2020,5172,26875,150,,5694287,90.83,994,54,41,77
Colorado,State Data,4/7/2020,5429,28094,179,,5694287,95.34,1079,54,44,78
Colorado,State Data,4/8/2020,5655,29199,193,,5694287,99.31,1162,54,48,79
Colorado,State Data,4/9/2020,6202,31180,226,,5694287,108.92,1221,56,54,80
Colorado,State Data,4/10/2020,6510,32653,250,,5694287,114.33,1312,56,59,81
Colorado,State Data,4/11/2020,6893,34873,274,,5694287,121.05,1376,56,67,82
Colorado,State Data,4/12/2020,7303,37153,290,,5694287,128.25,1417,56,68,83
Colorado,State Data,4/13/2020,7691,38742,308,,5694287,135.07,1493,56,72,84
Colorado,State Data,4/14/2020,7941,39580,329,,5694287,139.46,1556,56,78,85
Colorado,State Data,4/15/2020,8280,40533,357,,5694287,145.41,1636,56,83,86
Colorado,State Data,4/16/2020,8675,41830,374,,5694287,152.35,1693,56,93,87
Colorado,State Data,4/17/2020,9047,43307,391,,5694287,158.88,1755,57,100,88
Colorado,State Data,4/18/2020,9433,44606,411,,5694287,165.66,1797,56,107,89
Colorado,State Data,4/19/2020,9730,46195,422,,5694287,170.87,1813,56,111,90
Colorado,State Data,4/20/2020,10106,47466,449,,5694287,177.48,1880,56,113,91
Colorado,State Data,4/21/2020,10447,48704,486,,5694287,183.46,2003,56,119,92
Colorado,State Data,4/22/2020,10878,50645,508,,5694287,191.03,2123,56,123,93
Colorado,State Data,4/23/2020,11262,52324,552,,5694287,197.78,2237,56,130,94
Colorado,State Data,4/24/2020,12255,56789,674,,5694287,215.22,2366,56,134,95
Colorado,State Data,4/25/2020,12968,59791,672,,5694287,227.74,2410,57,141,96
Colorado,State Data,4/26/2020,13441,63274,680,,5694287,236.04,2438,57,143,97
Colorado,State Data,4/27/2020,13879,66341,706,,5694287,243.74,2485,56,144,98
Colorado,State Data,4/28/2020,14316,67094,736,,5694287,251.41,2571,56,149,99
Colorado,State Data,4/29/2020,14758,69449,766,,5694287,259.17,2621,56,157,100
Colorado,State Data,4/30/2020,15284,72390,777,,5694287,268.37,2697,56,159,101
Colorado,State Data,5/1/2020,15768,75259,820,,5694287,276.91,2747,56,161,102
Colorado,State Data,5/2/2020,16225,78179,832,,5694287,284.93,2793,56,163,103
Colorado,State Data,5/3/2020,16635,81352,842,,5694287,292.13,2799,56,163,104
Colorado,State Data,5/4/2020,16907,83266,851,,5694287,296.91,2838,56,163,105
Colorado,State Data,5/5/2020,17364,85976,903,,5694287,304.94,2919,56,170,106
